,Electricity (%_elec),Space Heating (%_sh),Passanger mobility (%_pass),Freight mobility (%_freight),PV,Wind_onshore,Wind_offshore,Hydro_river,Solar
296,0.00018,0.000347,0.000159,0.000114,0.0,0.842,0.846,0.343,0.0
297,0.000197,0.000346,0.000147,0.000114,0.000146,0.848,0.856,0.343,0.0
298,0.0002,0.000331,0.000164,0.000114,0.0238,0.829,0.811,0.342,0.0
299,0.000192,0.000311,0.000188,0.000114,0.0498,0.792,0.767,0.342,0.0
300,0.000196,0.000297,0.000207,0.000114,0.046,0.761,0.674,0.342,0.0
301,0.000189,0.000286,0.000188,0.000114,0.0384,0.755,0.759,0.342,0.0
302,0.000189,0.000277,0.00019,0.000114,0.0346,0.717,0.811,0.342,0.0
303,0.00018,0.000274,0.000214,0.000114,0.0447,0.637,0.688,0.342,0.0
304,0.000177,0.000279,0.000223,0.000114,0.0351,0.579,0.695,0.342,0.0
305,0.000178,0.000289,0.000223,0.000114,0.0131,0.61,0.876,0.341,0.0
306,0.000213,0.000289,0.000164,0.000114,1.29e-05,0.58,0.892,0.341,0.0
307,0.000223,0.000291,0.000117,0.000114,0.0,0.629,0.896,0.341,0.0
308,0.000203,0.000291,8.81e-05,0.000114,0.0,0.523,0.894,0.341,0.0
309,0.000177,0.000292,5.87e-05,0.000114,0.0,0.468,0.895,0.341,0.0
