Category,Subcategory,Technologies name,parameter name,c_inv,c_maint,gwp_constr,einv_constr,lifetime,c_p,fmin_perc,fmax_perc,f_min,f_max
,,Name (simplified),Name (in model and documents),"[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[Meuro/GW],[Meuro/GWh],[Meuro/(Mkmpass/h)],[Meuro/(Mtonkm/h)]","[ktonCO2_eq/GW],[ktonCO2_eq/GWh],[ktonCO2_eq/(Mkmpass/h)],[ktonCO2_eq/(Mtonkm/h)]",[GWh/y],[years],[],[],[],[GW],[GW]
Storage,Electricity storage,Batteries of plug-in hybrid cars,PHEV_BATT,0.0,0.0,0.0,0.0,1,1.0,0,1.0,0,1000000000000000.0
Storage,Electricity storage,Pumped hydro storage,PHS,58.8,0.0,5.817534991,15.95045884,50,1.0,0,1.0,5,6.5
Electricity,Electricity,Photovoltaic,PV,870.0,9.935466867,1108.770088,4467.896442,25,1.0,0,1.0,0,59.2
Synthetic fuels,Synthetic fuels,Wood pyrolysis to LFO,PYROLYSIS_TO_FUELS,1365.0,38.0,293.935816,982.1842878,25,0.85,0,1.0,0,1000000000000000.0
Synthetic fuels,Synthetic fuels,Wood pyrolysis to gasoline and diesel,PYROLYSIS_TO_LFO,1344.217623,61.09697026,293.935816,982.1842878,25,0.85,0,1.0,0,1000000000000000.0
Synthetic fuels,Synthetic fuels,Steam methane reforming,SMR,681.2435621,62.8658412,963.8938952,4442.84079,25,0.86,0,1.0,0,1000000000000000.0
Synthetic fuels,Synthetic fuels,Hydrogen methanation,SYN_METHANATION,262.1968349,66.99276316,293.935816,982.1842878,40,1.0,0,1.0,0,1000000000000000.0
Synthetic fuels,Synthetic fuels,Hydrogen methanolation,SYN_METHANOLATION,1679.651653,47.66486711,293.935816,982.1842878,20,0.95,0,1.0,0,1000000000000000.0
Mobility,Freight,Train (freight),TRAIN_FREIGHT,104.4155844,2.088311688,48.55593621,189.5711772,40,0.342465753,0,1.0,0,1000000000000000.0
Mobility,Passenger public,Train (passenger),TRAIN_PUB,1506.024096,54.35274934,81.53776657,305.0583459,40,0.275072894,0,0.5,0,1000000000000000.0
